iterations, average_reward
151200,0.8575
151600,0.8125
152000,0.8425
152400,0.7825
152800,0.7975
153200,0.7075
153600,0.775
154000,0.8275
154400,0.7525
154800,0.835
155200,0.8575
155600,0.835
156000,0.8725
156400,0.865
156800,0.7975
157200,0.8875
157600,0.865
158000,0.835
158400,0.835
158800,0.82
159200,0.8575
159600,0.8725
160000,0.8275
160400,0.85
160800,0.8725
161200,0.8725
161600,0.79
162000,0.835
162400,0.8575
162800,0.88
163200,0.8575
163600,0.8275
164000,0.88
164400,0.88
164800,0.865
165200,0.865
165600,0.85
166000,0.8875
166400,0.8875
166800,0.895
167200,0.9025
