iterations, average_reward
400,0.1225
800,0.265
1200,0.295
1600,0.19
2000,0.3325
2400,0.2575
2800,0.1375
3200,0.22
3600,0.2575
4000,0.385
4400,0.3025
4800,0.3625
5200,0.2575
5600,0.2125
6000,0.175
6400,0.1675
6800,0.175
7200,0.295
7600,0.31
8000,0.1975
8400,0.2575
8800,0.2575
9200,0.3625
9600,0.3325
10000,0.34
10400,0.2425
10800,0.31
11200,0.3325
11600,0.2275
12000,0.22
12400,0.295
12800,0.3175
13200,0.25
13600,0.2575
14000,0.295
14400,0.2125
14800,0.2425
15200,0.295
15600,0.2725
16000,0.445
16400,0.3175
16800,0.3625
17200,0.3475
17600,0.205
18000,0.3325
18400,0.3175
18800,0.295
19200,0.22
19600,0.3775
20000,0.325
20400,0.19
20800,0.295
21200,0.2725
21600,0.37
22000,0.2425
22400,0.3025
22800,0.3625
23200,0.2725
23600,0.3475
24000,0.34
24400,0.28
24800,0.325
25200,0.31
25600,0.31
26000,0.1975
26400,0.3025
26800,0.175
27200,0.34
27600,0.3775
28000,0.3775
28400,0.3625
28800,0.235
29200,0.3925
29600,0.3475
30000,0.3175
30400,0.5125
30800,0.295
31200,0.3625
31600,0.4075
32000,0.355
32400,0.37
32800,0.31
33200,0.37
33600,0.415
34000,0.4075
34400,0.31
34800,0.28
35200,0.325
35600,0.3925
36000,0.4375
36400,0.325
36800,0.295
37200,0.4
37600,0.4675
38000,0.3775
38400,0.3775
38800,0.5125
39200,0.4
39600,0.415
40000,0.3925
40400,0.3325
40800,0.2725
41200,0.4
41600,0.2875
42000,0.3475
42400,0.355
42800,0.385
43200,0.4675
43600,0.4075
44000,0.4975
44400,0.3625
44800,0.4375
45200,0.355
45600,0.355
46000,0.3925
46400,0.4075
46800,0.49
47200,0.355
47600,0.4225
48000,0.4075
48400,0.3625
48800,0.49
49200,0.34
49600,0.5725
50000,0.4675
50400,0.4075
50800,0.4525
51200,0.3775
51600,0.4825
52000,0.3925
52400,0.415
52800,0.415
53200,0.505
53600,0.4375
54000,0.415
54400,0.46
54800,0.5125
55200,0.4
55600,0.4225
56000,0.4975
56400,0.4675
56800,0.4675
57200,0.52
57600,0.475
58000,0.505
58400,0.4225
58800,0.3475
59200,0.505
59600,0.475
60000,0.475
60400,0.49
60800,0.385
61200,0.49
61600,0.4375
62000,0.5425
62400,0.49
62800,0.52
63200,0.475
63600,0.505
64000,0.5875
64400,0.505
64800,0.445
65200,0.5125
65600,0.505
66000,0.505
66400,0.595
66800,0.43
67200,0.445
67600,0.5725
68000,0.52
68400,0.5125
68800,0.565
69200,0.475
69600,0.5725
70000,0.4825
70400,0.52
70800,0.3925
71200,0.5725
71600,0.6025
72000,0.6025
72400,0.475
72800,0.43
73200,0.535
73600,0.46
74000,0.595
74400,0.46
74800,0.55
75200,0.415
75600,0.5425
76000,0.535
76400,0.5425
76800,0.52
77200,0.4225
77600,0.5425
78000,0.4375
78400,0.5725
78800,0.46
79200,0.5575
79600,0.4975
80000,0.595
80400,0.49
80800,0.505
81200,0.595
81600,0.5425
82000,0.58
82400,0.6325
82800,0.4675
83200,0.4975
83600,0.5875
84000,0.5425
84400,0.55
84800,0.565
85200,0.5425
85600,0.6475
86000,0.4975
86400,0.4975
86800,0.535
87200,0.505
87600,0.5725
88000,0.655
88400,0.5275
88800,0.4975
89200,0.6175
89600,0.61
90000,0.655
90400,0.565
90800,0.565
91200,0.655
91600,0.61
92000,0.5275
92400,0.5575
92800,0.4825
93200,0.5425
93600,0.535
94000,0.5725
94400,0.6475
94800,0.61
95200,0.5725
95600,0.6025
96000,0.5875
96400,0.5725
96800,0.67
97200,0.625
97600,0.5725
98000,0.6475
98400,0.685
98800,0.6025
99200,0.7075
99600,0.565
100000,0.64
100400,0.6625
100800,0.5725
101200,0.6475
101600,0.6625
102000,0.445
102400,0.5725
102800,0.655
103200,0.67
103600,0.52
104000,0.7225
104400,0.595
104800,0.6325
105200,0.6325
105600,0.6025
106000,0.6775
106400,0.58
106800,0.6025
107200,0.685
107600,0.745
108000,0.5875
108400,0.565
108800,0.64
109200,0.6625
109600,0.6325
110000,0.595
110400,0.5725
110800,0.715
111200,0.6325
111600,0.67
112000,0.7
112400,0.7225
112800,0.7075
113200,0.6775
113600,0.6925
114000,0.6925
114400,0.6775
114800,0.7375
115200,0.58
115600,0.7225
116000,0.6925
116400,0.685
116800,0.6775
117200,0.7225
117600,0.6925
118000,0.685
118400,0.6625
118800,0.6625
119200,0.7225
119600,0.715
120000,0.7375
120400,0.76
120800,0.76
121200,0.7375
121600,0.6475
122000,0.7225
122400,0.745
122800,0.73
123200,0.6925
123600,0.67
124000,0.7675
124400,0.6625
124800,0.685
125200,0.715
125600,0.7075
126000,0.73
126400,0.6925
126800,0.79
127200,0.7225
127600,0.7225
128000,0.79
128400,0.73
128800,0.745
129200,0.715
129600,0.775
130000,0.6475
130400,0.7225
130800,0.73
131200,0.8125
131600,0.6925
132000,0.775
132400,0.715
132800,0.73
133200,0.805
133600,0.7075
134000,0.7
134400,0.7
134800,0.76
135200,0.79
135600,0.76
136000,0.67
136400,0.745
136800,0.79
137200,0.73
137600,0.79
138000,0.79
138400,0.745
138800,0.7675
139200,0.7375
139600,0.775
140000,0.775
140400,0.76
140800,0.7975
141200,0.8125
141600,0.7825
142000,0.7675
142400,0.7525
142800,0.7525
143200,0.685
143600,0.8125
144000,0.8725
144400,0.7975
144800,0.7975
145200,0.7825
145600,0.7825
146000,0.76
146400,0.7975
146800,0.7825
147200,0.7525
147600,0.8275
148000,0.865
148400,0.8275
148800,0.8275
149200,0.8575
149600,0.775
150000,0.7675
150400,0.7825
150800,0.8425
