actions, games, valid_actions, av_reward, av_kills, av_points, av_game_time, games_per_min
4626,400,0.5778210116731517,-51.2676178123649,0.525,7.495,281.79670749999957,212.91945009684008
9108,800,0.6019634091923248,-49.01829540383757,0.4875,7.35,769.9590225000004,77.92622496348494
13388,1200,0.6191588785046729,-47.657476635514016,0.52,7.41,617.5439275000001,97.15908023401298
17678,1600,0.6195804195804195,-47.64452214452214,0.52,7.7025,194.2360374999998,308.902512490763
21953,2000,0.6198830409356725,-47.67859649122807,0.5275,7.53,206.62940499999996,290.37493477755504
26154,2400,0.6417519638181386,-45.61104498928827,0.525,7.5425,212.89725499999912,281.8260855453503
30159,2800,0.6544319600499375,-44.82896379525593,0.495,7.25,166.96106,359.365231629459
34287,3200,0.656734496124031,-44.313226744186046,0.525,7.5975,157.44995749999944,381.07345948315174
38148,3600,0.674954674954675,-43.22973322973323,0.44,6.655,149.59227250000026,401.09023679682315
42084,4000,0.6778455284552846,-42.63313008130081,0.55,7.755,153.86113499999976,389.9620264727678
45990,4400,0.68868407578085,-41.58832565284178,0.5775,8.1675,159.2246049999993,376.82618210923033
49974,4800,0.6819779116465864,-42.11772088353413,0.5525,7.7775,167.83707749999942,357.48954220202154
53820,5200,0.7015080603224129,-40.659126365054604,0.455,6.935,167.04125,359.1927143744435
57631,5600,0.7016531094200997,-40.60482812909997,0.5175,7.5,170.6993075,351.4952748124066
61356,6000,0.7299328859060402,-38.048859060402684,0.535,7.73,172.60657000000006,347.6113336821419
65102,6400,0.7119594233849439,-39.769620928990925,0.545,7.735,177.52933500000043,337.9723131391207
68781,6800,0.7167708616471867,-39.425930959499865,0.45,6.635,178.29817749999987,336.5149371759565
72453,7200,0.7339324618736384,-37.72004357298475,0.5375,7.7825,159.3822975,376.4533511006767
76110,7600,0.7383100902379,-37.35548263604047,0.51,7.48,154.48989999999932,388.3749034726559
79695,8000,0.7662482566248257,-34.696513249651325,0.5575,8.0125,155.84448999999964,384.99917449760426
83195,8400,0.7557142857142857,-36.07714285714286,0.5075,7.305,156.5235149999999,383.3289841465676
86671,8800,0.7822209436133487,-33.51697353279632,0.515,7.4975,158.93846249999885,377.50459552860235
90126,9200,0.777713458755427,-33.964399421128796,0.535,7.36,161.54857750000025,371.4053130551391
93521,9600,0.8026509572901326,-31.66539027982327,0.5975,8.2575,162.13884499999986,370.05320964263717
96834,10000,0.8028976758225174,-32.086930274675524,0.5075,7.4025,161.93789499999954,370.51241156370577
100170,10400,0.8018585131894485,-31.966726618705035,0.5,7.3,166.67926499999828,359.9727896568335
103465,10800,0.797875569044006,-32.49924127465857,0.475,7.1825,167.79409750000107,357.58111217231357
106739,11200,0.8145998778252902,-30.935858277336592,0.5125,7.3875,172.68381749999944,347.45583499739456
110025,11600,0.8274497869750457,-29.654290931223372,0.55,7.8125,177.34047499999986,338.3322391574741
113293,12000,0.8268053855569155,-29.67105263157895,0.5625,8.1525,180.06070500000146,333.2209545664031
116588,12400,0.8349013657056146,-28.857359635811836,0.5575,7.8525,182.90205250000116,328.044432415539
119843,12800,0.8387096774193549,-28.462672811059907,0.535,7.8275,140.8446624999994,426.0012338060752
123001,13200,0.8527549081697277,-27.489867004433187,0.5475,7.695,140.4355599999998,427.24221699974055
126178,13600,0.8523764557758892,-27.40321057601511,0.5675,8.21,143.10115250000032,419.2838349083168
129298,14000,0.8503205128205128,-27.933653846153845,0.505,7.485,144.55394750000093,415.0699516524764
132494,14400,0.8548185231539425,-27.1639549436796,0.52,7.625,152.24599999999975,394.09902394808466
135593,14800,0.8657631494030332,-26.545014520813165,0.52,7.5725,152.09895249999826,394.4800343053032
