train-brain-experiment-01a.html:116 ---------------------------------------------------------
train-brain-experiment-01a.html:117 *** Started Learning using 120000 iterations ***
train-brain-experiment-01a.html:118 ---------------------------------------------------------
train-brain-experiment-01a.html:151 # iterations done: 34000, average Reward: -0.2
train-brain-experiment-01a.html:151 # iterations done: 34400, average Reward: -0.125
train-brain-experiment-01a.html:151 # iterations done: 34800, average Reward: -0.2225
train-brain-experiment-01a.html:151 # iterations done: 35200, average Reward: -0.11
train-brain-experiment-01a.html:151 # iterations done: 35600, average Reward: -0.05
train-brain-experiment-01a.html:151 # iterations done: 36000, average Reward: -0.1325
train-brain-experiment-01a.html:151 # iterations done: 36400, average Reward: -0.395
train-brain-experiment-01a.html:151 # iterations done: 36800, average Reward: -0.1175
train-brain-experiment-01a.html:151 # iterations done: 37200, average Reward: -0.23
train-brain-experiment-01a.html:151 # iterations done: 37600, average Reward: -0.1925
train-brain-experiment-01a.html:151 # iterations done: 38000, average Reward: -0.1325
train-brain-experiment-01a.html:151 # iterations done: 38400, average Reward: -0.11
train-brain-experiment-01a.html:151 # iterations done: 38800, average Reward: -0.17
train-brain-experiment-01a.html:151 # iterations done: 39200, average Reward: -0.1475
train-brain-experiment-01a.html:151 # iterations done: 39600, average Reward: -0.08
train-brain-experiment-01a.html:151 # iterations done: 40000, average Reward: 0.01
train-brain-experiment-01a.html:151 # iterations done: 40400, average Reward: -0.1025
train-brain-experiment-01a.html:151 # iterations done: 40800, average Reward: -0.1175
train-brain-experiment-01a.html:151 # iterations done: 41200, average Reward: -0.1625
train-brain-experiment-01a.html:151 # iterations done: 41600, average Reward: -0.1925
train-brain-experiment-01a.html:151 # iterations done: 42000, average Reward: -0.1475
train-brain-experiment-01a.html:151 # iterations done: 42400, average Reward: -0.1025
train-brain-experiment-01a.html:151 # iterations done: 42800, average Reward: -0.155
train-brain-experiment-01a.html:151 # iterations done: 43200, average Reward: -0.1475
train-brain-experiment-01a.html:151 # iterations done: 43600, average Reward: -0.1925
train-brain-experiment-01a.html:151 # iterations done: 44000, average Reward: -0.0275
train-brain-experiment-01a.html:151 # iterations done: 44400, average Reward: -0.185
train-brain-experiment-01a.html:151 # iterations done: 44800, average Reward: -0.1175
train-brain-experiment-01a.html:151 # iterations done: 45200, average Reward: -0.11
train-brain-experiment-01a.html:151 # iterations done: 45600, average Reward: -0.155
train-brain-experiment-01a.html:151 # iterations done: 46000, average Reward: -0.035
train-brain-experiment-01a.html:151 # iterations done: 46400, average Reward: -0.1325
train-brain-experiment-01a.html:151 # iterations done: 46800, average Reward: -0.185
train-brain-experiment-01a.html:151 # iterations done: 47200, average Reward: 0.0325
train-brain-experiment-01a.html:151 # iterations done: 47600, average Reward: -0.0875
train-brain-experiment-01a.html:151 # iterations done: 48000, average Reward: -0.0575
train-brain-experiment-01a.html:151 # iterations done: 48400, average Reward: -0.02
train-brain-experiment-01a.html:151 # iterations done: 48800, average Reward: -0.0575
train-brain-experiment-01a.html:151 # iterations done: 49200, average Reward: -0.02
train-brain-experiment-01a.html:151 # iterations done: 49600, average Reward: -0.005
train-brain-experiment-01a.html:151 # iterations done: 50000, average Reward: -0.065
train-brain-experiment-01a.html:151 # iterations done: 50400, average Reward: -0.1625
train-brain-experiment-01a.html:151 # iterations done: 50800, average Reward: -0.1025
train-brain-experiment-01a.html:151 # iterations done: 51200, average Reward: -0.125
train-brain-experiment-01a.html:151 # iterations done: 51600, average Reward: -0.1325
train-brain-experiment-01a.html:151 # iterations done: 52000, average Reward: -0.14
train-brain-experiment-01a.html:151 # iterations done: 52400, average Reward: -0.0275
train-brain-experiment-01a.html:151 # iterations done: 52800, average Reward: -0.065
train-brain-experiment-01a.html:151 # iterations done: 53200, average Reward: -0.08
train-brain-experiment-01a.html:151 # iterations done: 53600, average Reward: -0.1175
train-brain-experiment-01a.html:151 # iterations done: 54000, average Reward: 0.025
train-brain-experiment-01a.html:151 # iterations done: 54400, average Reward: 0.0175
train-brain-experiment-01a.html:151 # iterations done: 54800, average Reward: 0.0475
train-brain-experiment-01a.html:151 # iterations done: 55200, average Reward: -0.035
train-brain-experiment-01a.html:151 # iterations done: 55600, average Reward: 0.025
train-brain-experiment-01a.html:151 # iterations done: 56000, average Reward: 0.0175
train-brain-experiment-01a.html:151 # iterations done: 56400, average Reward: -0.08
train-brain-experiment-01a.html:151 # iterations done: 56800, average Reward: 0.04
train-brain-experiment-01a.html:151 # iterations done: 57200, average Reward: 0.0925
train-brain-experiment-01a.html:151 # iterations done: 57600, average Reward: 0.01
train-brain-experiment-01a.html:151 # iterations done: 58000, average Reward: -0.095
train-brain-experiment-01a.html:151 # iterations done: 58400, average Reward: -0.02
train-brain-experiment-01a.html:151 # iterations done: 58800, average Reward: -0.02
train-brain-experiment-01a.html:151 # iterations done: 59200, average Reward: 0.01
train-brain-experiment-01a.html:151 # iterations done: 59600, average Reward: 0.04
train-brain-experiment-01a.html:151 # iterations done: 60000, average Reward: -0.065
train-brain-experiment-01a.html:151 # iterations done: 60400, average Reward: 0.0175
train-brain-experiment-01a.html:151 # iterations done: 60800, average Reward: -0.065
train-brain-experiment-01a.html:151 # iterations done: 61200, average Reward: 0.01
train-brain-experiment-01a.html:151 # iterations done: 61600, average Reward: -0.0575
train-brain-experiment-01a.html:151 # iterations done: 62000, average Reward: 0.04
train-brain-experiment-01a.html:151 # iterations done: 62400, average Reward: -0.0275
train-brain-experiment-01a.html:151 # iterations done: 62800, average Reward: 0.01
