train-brain-experiment-01b.html:119 ---------------------------------------------------------
train-brain-experiment-01b.html:120 *** Started Learning using 120000 iterations ***
train-brain-experiment-01b.html:121 ---------------------------------------------------------
train-brain-experiment-01b.html:154 # iterations done: 0, average Reward: 0.0025
train-brain-experiment-01b.html:154 # iterations done: 400, average Reward: -0.335
train-brain-experiment-01b.html:154 # iterations done: 800, average Reward: -0.26
train-brain-experiment-01b.html:154 # iterations done: 1200, average Reward: -0.44
train-brain-experiment-01b.html:154 # iterations done: 1600, average Reward: -0.245
train-brain-experiment-01b.html:154 # iterations done: 2000, average Reward: -0.38
train-brain-experiment-01b.html:154 # iterations done: 2400, average Reward: -0.4475
train-brain-experiment-01b.html:154 # iterations done: 2800, average Reward: -0.245
train-brain-experiment-01b.html:154 # iterations done: 3200, average Reward: -0.4025
train-brain-experiment-01b.html:154 # iterations done: 3600, average Reward: -0.2975
train-brain-experiment-01b.html:154 # iterations done: 4000, average Reward: -0.3575
train-brain-experiment-01b.html:154 # iterations done: 4400, average Reward: -0.35
train-brain-experiment-01b.html:154 # iterations done: 4800, average Reward: -0.4925
train-brain-experiment-01b.html:154 # iterations done: 5200, average Reward: -0.3425
train-brain-experiment-01b.html:154 # iterations done: 5600, average Reward: -0.29
train-brain-experiment-01b.html:154 # iterations done: 6000, average Reward: -0.1925
train-brain-experiment-01b.html:154 # iterations done: 6400, average Reward: -0.305
train-brain-experiment-01b.html:154 # iterations done: 6800, average Reward: -0.335
train-brain-experiment-01b.html:154 # iterations done: 7200, average Reward: -0.3725
train-brain-experiment-01b.html:154 # iterations done: 7600, average Reward: -0.275
train-brain-experiment-01b.html:154 # iterations done: 8000, average Reward: -0.3275
train-brain-experiment-01b.html:154 # iterations done: 8400, average Reward: -0.305
train-brain-experiment-01b.html:154 # iterations done: 8800, average Reward: -0.185
train-brain-experiment-01b.html:154 # iterations done: 9200, average Reward: -0.29
train-brain-experiment-01b.html:154 # iterations done: 9600, average Reward: -0.395
train-brain-experiment-01b.html:154 # iterations done: 10000, average Reward: -0.3575
train-brain-experiment-01b.html:154 # iterations done: 10400, average Reward: -0.41
train-brain-experiment-01b.html:154 # iterations done: 10800, average Reward: -0.1775
train-brain-experiment-01b.html:154 # iterations done: 11200, average Reward: -0.2975
train-brain-experiment-01b.html:154 # iterations done: 11600, average Reward: -0.2825
