train-brain-experiment-02.html:117 -----------------------------------------------------------------------
train-brain-experiment-02.html:118 *** Started Learning: upto max. average rewards reaches 0.9 ***
train-brain-experiment-02.html:119 -----------------------------------------------------------------------
train-brain-experiment-02.html:156 # iterations done: 35200, average Reward: 0.4525
train-brain-experiment-02.html:156 # iterations done: 35600, average Reward: 0.3325
train-brain-experiment-02.html:156 # iterations done: 36000, average Reward: 0.2425
train-brain-experiment-02.html:156 # iterations done: 36400, average Reward: 0.3925
train-brain-experiment-02.html:156 # iterations done: 36800, average Reward: 0.37
train-brain-experiment-02.html:156 # iterations done: 37200, average Reward: 0.475
train-brain-experiment-02.html:156 # iterations done: 37600, average Reward: 0.3325
train-brain-experiment-02.html:156 # iterations done: 38000, average Reward: 0.37
train-brain-experiment-02.html:156 # iterations done: 38400, average Reward: 0.4375
train-brain-experiment-02.html:156 # iterations done: 38800, average Reward: 0.4525
train-brain-experiment-02.html:156 # iterations done: 39200, average Reward: 0.2875
train-brain-experiment-02.html:156 # iterations done: 39600, average Reward: 0.3775
train-brain-experiment-02.html:156 # iterations done: 40000, average Reward: 0.43
train-brain-experiment-02.html:156 # iterations done: 40400, average Reward: 0.43
train-brain-experiment-02.html:156 # iterations done: 40800, average Reward: 0.4225
train-brain-experiment-02.html:156 # iterations done: 41200, average Reward: 0.3325
train-brain-experiment-02.html:156 # iterations done: 41600, average Reward: 0.4525
train-brain-experiment-02.html:156 # iterations done: 42000, average Reward: 0.43
train-brain-experiment-02.html:156 # iterations done: 42400, average Reward: 0.2875
train-brain-experiment-02.html:156 # iterations done: 42800, average Reward: 0.4825
train-brain-experiment-02.html:156 # iterations done: 43200, average Reward: 0.3475
train-brain-experiment-02.html:156 # iterations done: 43600, average Reward: 0.37
train-brain-experiment-02.html:156 # iterations done: 44000, average Reward: 0.46
train-brain-experiment-02.html:156 # iterations done: 44400, average Reward: 0.4675
train-brain-experiment-02.html:156 # iterations done: 44800, average Reward: 0.49
train-brain-experiment-02.html:156 # iterations done: 45200, average Reward: 0.4225
train-brain-experiment-02.html:156 # iterations done: 45600, average Reward: 0.4525
train-brain-experiment-02.html:156 # iterations done: 46000, average Reward: 0.415
train-brain-experiment-02.html:156 # iterations done: 46400, average Reward: 0.4
train-brain-experiment-02.html:156 # iterations done: 46800, average Reward: 0.385
train-brain-experiment-02.html:156 # iterations done: 47200, average Reward: 0.4
train-brain-experiment-02.html:156 # iterations done: 47600, average Reward: 0.385
train-brain-experiment-02.html:156 # iterations done: 48000, average Reward: 0.4825
train-brain-experiment-02.html:156 # iterations done: 48400, average Reward: 0.4225
train-brain-experiment-02.html:156 # iterations done: 48800, average Reward: 0.4075
train-brain-experiment-02.html:156 # iterations done: 49200, average Reward: 0.34
train-brain-experiment-02.html:156 # iterations done: 49600, average Reward: 0.3925
train-brain-experiment-02.html:156 # iterations done: 50000, average Reward: 0.3475
train-brain-experiment-02.html:156 # iterations done: 50400, average Reward: 0.4
train-brain-experiment-02.html:156 # iterations done: 50800, average Reward: 0.505
train-brain-experiment-02.html:156 # iterations done: 51200, average Reward: 0.4
train-brain-experiment-02.html:156 # iterations done: 51600, average Reward: 0.385
train-brain-experiment-02.html:156 # iterations done: 52000, average Reward: 0.2875
train-brain-experiment-02.html:156 # iterations done: 52400, average Reward: 0.4225
train-brain-experiment-02.html:156 # iterations done: 52800, average Reward: 0.46
train-brain-experiment-02.html:156 # iterations done: 53200, average Reward: 0.3925
train-brain-experiment-02.html:156 # iterations done: 53600, average Reward: 0.52
train-brain-experiment-02.html:156 # iterations done: 54000, average Reward: 0.46
train-brain-experiment-02.html:156 # iterations done: 54400, average Reward: 0.43
train-brain-experiment-02.html:156 # iterations done: 54800, average Reward: 0.505
train-brain-experiment-02.html:156 # iterations done: 55200, average Reward: 0.34
train-brain-experiment-02.html:156 # iterations done: 55600, average Reward: 0.5425
train-brain-experiment-02.html:156 # iterations done: 56000, average Reward: 0.49
train-brain-experiment-02.html:156 # iterations done: 56400, average Reward: 0.4375
train-brain-experiment-02.html:156 # iterations done: 56800, average Reward: 0.445
train-brain-experiment-02.html:156 # iterations done: 57200, average Reward: 0.4525
train-brain-experiment-02.html:156 # iterations done: 57600, average Reward: 0.4825
train-brain-experiment-02.html:156 # iterations done: 58000, average Reward: 0.5425
train-brain-experiment-02.html:156 # iterations done: 58400, average Reward: 0.415
train-brain-experiment-02.html:156 # iterations done: 58800, average Reward: 0.445
train-brain-experiment-02.html:156 # iterations done: 59200, average Reward: 0.4675
train-brain-experiment-02.html:156 # iterations done: 59600, average Reward: 0.4975
train-brain-experiment-02.html:156 # iterations done: 60000, average Reward: 0.3775
train-brain-experiment-02.html:156 # iterations done: 60400, average Reward: 0.46
train-brain-experiment-02.html:156 # iterations done: 60800, average Reward: 0.505
train-brain-experiment-02.html:156 # iterations done: 61200, average Reward: 0.385
train-brain-experiment-02.html:156 # iterations done: 61600, average Reward: 0.4975
train-brain-experiment-02.html:156 # iterations done: 62000, average Reward: 0.445
train-brain-experiment-02.html:156 # iterations done: 62400, average Reward: 0.4675
train-brain-experiment-02.html:156 # iterations done: 62800, average Reward: 0.43
train-brain-experiment-02.html:156 # iterations done: 63200, average Reward: 0.505
train-brain-experiment-02.html:156 # iterations done: 63600, average Reward: 0.385
train-brain-experiment-02.html:156 # iterations done: 64000, average Reward: 0.4825
train-brain-experiment-02.html:156 # iterations done: 64400, average Reward: 0.52
train-brain-experiment-02.html:156 # iterations done: 64800, average Reward: 0.52
train-brain-experiment-02.html:156 # iterations done: 65200, average Reward: 0.5275
train-brain-experiment-02.html:156 # iterations done: 65600, average Reward: 0.55
train-brain-experiment-02.html:156 # iterations done: 66000, average Reward: 0.5575
train-brain-experiment-02.html:156 # iterations done: 66400, average Reward: 0.475
train-brain-experiment-02.html:156 # iterations done: 66800, average Reward: 0.4225
train-brain-experiment-02.html:156 # iterations done: 67200, average Reward: 0.565
train-brain-experiment-02.html:156 # iterations done: 67600, average Reward: 0.58
train-brain-experiment-02.html:156 # iterations done: 68000, average Reward: 0.3925
train-brain-experiment-02.html:156 # iterations done: 68400, average Reward: 0.49
train-brain-experiment-02.html:156 # iterations done: 68800, average Reward: 0.49
train-brain-experiment-02.html:156 # iterations done: 69200, average Reward: 0.5125
train-brain-experiment-02.html:156 # iterations done: 69600, average Reward: 0.64
train-brain-experiment-02.html:156 # iterations done: 70000, average Reward: 0.46
train-brain-experiment-02.html:156 # iterations done: 70400, average Reward: 0.52
train-brain-experiment-02.html:156 # iterations done: 70800, average Reward: 0.5275
train-brain-experiment-02.html:156 # iterations done: 71200, average Reward: 0.4
train-brain-experiment-02.html:156 # iterations done: 71600, average Reward: 0.505
train-brain-experiment-02.html:156 # iterations done: 72000, average Reward: 0.4975
train-brain-experiment-02.html:156 # iterations done: 72400, average Reward: 0.52
train-brain-experiment-02.html:156 # iterations done: 72800, average Reward: 0.58
train-brain-experiment-02.html:156 # iterations done: 73200, average Reward: 0.4075
train-brain-experiment-02.html:156 # iterations done: 73600, average Reward: 0.4225
train-brain-experiment-02.html:156 # iterations done: 74000, average Reward: 0.43
train-brain-experiment-02.html:156 # iterations done: 74400, average Reward: 0.5125
train-brain-experiment-02.html:156 # iterations done: 74800, average Reward: 0.595
train-brain-experiment-02.html:156 # iterations done: 75200, average Reward: 0.5275
