actions, games, valid_actions, av_reward, av_kills, av_points, av_game_time, games_per_min
4566,400,0.565922032413491,-2.417214191852825,0.5,7.11,453.41054250000525,132.33040341138363
9139,800,0.5797069757270938,-2.3315110430789416,0.4475,6.9275,113.99512750000213,526.3382858183907
13519,1200,0.6054794520547945,-2.1678082191780823,0.46,6.8475,89.89565249999941,667.4405083160211
17960,1600,0.6007655933348345,-2.1936500788110784,0.485,7.005,92.54780249999385,648.3136106878819
22418,2000,0.5926424405563033,-2.235307312696276,0.52,7.54,94.29951500000243,636.2705046786132
26877,2400,0.6075353218210361,-2.1316438663377437,0.5,7.48,95.74639500000558,626.6554474452694
31127,2800,0.6134117647058823,-2.1284705882352943,0.4425,6.665,94.16441000001214,637.1834114395477
35520,3200,0.5964033689961302,-2.2189847484634644,0.515,7.5025,94.77692499998739,633.0654850851934
39866,3600,0.6007823285780027,-2.214219972388403,0.46,6.9575,94.73065999998653,633.3746645490334
44290,4000,0.5904159132007233,-2.2780289330922243,0.45,6.8575,96.97152999999162,618.7383039125524
48715,4400,0.5898305084745763,-2.2668926553672315,0.5075,7.23,98.0028350000066,612.2271871012299
53311,4800,0.5711488250652742,-2.404917319408181,0.4425,6.8975,101.70309749999433,589.9525331566558
57991,5200,0.5692307692307692,-2.3974358974358974,0.4775,7.21,264.83405249999106,226.55696816028606
62787,5600,0.5433694745621351,-2.574020016680567,0.4225,6.6225,1000.3630625000002,59.97822415599235
67551,6000,0.5480688497061293,-2.542821158690176,0.4575,6.92,964.9488225000096,62.17946340879586
72483,6400,0.5356853203568532,-2.5993511759935117,0.53,7.565,112.23503250001173,534.592441090029
77613,6800,0.5070175438596491,-2.801169590643275,0.4625,7,999.981337499994,60.001119770898086
83062,7200,0.4839420077078363,-2.940539548541017,0.46,6.985,999.9062450000015,60.005625827449364
88709,7600,0.47441119178324775,-2.989197804143793,0.475,7.26,1000.0968674999964,59.99418851294444
94325,8000,0.46296296296296297,-3.088675213675214,0.425,6.6975,999.9780724999983,60.00131567884965
100459,8400,0.4331594391913922,-3.2647538311053146,0.4525,7.2125,1000.1541125000047,59.9907546748199
106766,8800,0.4190581893134612,-3.359124781988267,0.42,6.8575,638.6183775000064,93.95282396175546
113262,9200,0.3920874384236453,-3.5349445812807883,0.44,6.845,122.45800499998964,489.96388598691505
121081,9600,0.33712750991175344,-3.86507225987978,0.47,7.34,143.5816625000001,417.8806607703122
129243,10000,0.3211222739524626,-3.9677775055133546,0.4675,7.2375,150.4829149999935,398.7163592624624
138499,10400,0.28079083837510804,-4.23228176318064,0.43,6.74,171.4643474999862,349.92697242792605
149669,10800,0.23652641002685765,-4.507609668755595,0.4275,6.8525,211.20280999999494,284.08712933318185
165904,11200,0.1591007083461657,-4.998768093624885,0.4225,6.59,310.6607400000037,193.13673172863517
