actions, games, valid_actions, av_reward, av_kills, av_points, av_game_time, games_per_min
38519,3600,0.6608040201005025,-2.380150753768844,0.5075,7.2975,999.956087499999,60.002634865703605
42508,4000,0.6695913762847832,-2.3790423665078966,0.4725,6.9225,999.9883974999992,60.00069615807722
46513,4400,0.6776529338327091,-2.313607990012484,0.54,7.69,1000.033409999999,59.99799546697151
50457,4800,0.6929513184584178,-2.1579614604462476,0.5375,7.8225,1000.1202075000015,59.99278841688629
54298,5200,0.6782087997917209,-2.284561312158292,0.5175,7.4625,493.31710250000003,121.62562314571285
58193,5600,0.6988446726572529,-2.0618741976893453,0.5925,8.195,154.55077250000207,388.2219352866657
62015,6000,0.7022501308215594,-2.0614861329147045,0.4825,7.1125,153.00973249999922,392.13191879804316
65680,6400,0.7222373806275579,-1.9819918144611186,0.52,7.335,150.72430250000326,398.0778083215791
69482,6800,0.7112046291425566,-1.9986849026827986,0.53,7.6525,163.06452999999746,367.9524909555802
73174,7200,0.7280606717226435,-1.921180931744312,0.525,7.6875,162.96442249999848,368.17852068294576
76868,7600,0.7403898213318896,-1.723064428803465,0.6025,8.3575,165.46780749999917,362.60829768956904
80604,8000,0.7269807280513919,-1.7802462526766596,0.5975,8.4375,168.6454799999995,355.7759152513318
84222,8400,0.7611940298507462,-1.6265892758430072,0.5425,7.7525,165.9810600000038,361.4870274957795
87752,8800,0.7651558073654391,-1.5566572237960339,0.5175,7.7625,163.66690249999985,366.5982497591415
91328,9200,0.7678970917225951,-1.403523489932886,0.6175,8.54,166.42998499999987,360.51195942846505
94840,9600,0.7773348519362187,-1.3123576309794989,0.6325,8.5075,165.20527250000043,363.18453456138843
98335,10000,0.7862660944206008,-1.2938483547925608,0.6525,9.0175,163.2923124999972,367.4392203858405
101933,10400,0.7857142857142857,-1.2148415786548081,0.64,8.885,166.6997524999967,359.9285487841453
105324,10800,0.7997640813919198,-1.1035092892951932,0.595,8.4225,159.17222999999998,376.9501752912553
108762,11200,0.7993019197207679,-1.1890634089586969,0.6075,8.55,161.33144999999786,371.9051679012418
112305,11600,0.7984758679085521,-1.1323736946090883,0.6825,9.215,166.91160250000422,359.471714975587
115722,12000,0.8208955223880597,-0.9672227099795142,0.64,8.9325,162.0977075000014,370.14712253101715
119218,12400,0.812070938215103,-1.0283180778032037,0.6725,9.2875,165.6185924999998,362.27816632362743
122632,12800,0.8263034563561804,-0.8210310486233158,0.7,9.7725,163.46002749999985,367.06221647980607
126041,13200,0.8275154004106776,-0.7852742739806395,0.625,8.935,163.4287474999996,367.13247159897713
129431,13600,0.8454277286135693,-0.7100294985250738,0.7075,9.8675,163.22045249999965,367.6009904457294
132788,14000,0.838248436103664,-0.7327971403038427,0.6875,9.305,164.18409500000067,365.4434371368296
136145,14400,0.8349717009234435,-0.6851355376824546,0.6725,9.395,163.9651349999965,365.93145243957673
139460,14800,0.8627450980392157,-0.4850678733031674,0.6925,9.605,162.56832749999828,369.07558146589554
142701,15200,0.8775069423017587,-0.365319345880901,0.8125,10.5675,160.6232049999968,373.545030433188
146032,15600,0.8733113179225458,-0.36625637946562595,0.78,10.68,164.93018499999772,363.7902910252652
149352,16000,0.8698795180722891,-0.38373493975903616,0.76,10.34,157.32779250000138,381.3693629496484
152606,16400,0.879840196681008,-0.34787953288260604,0.6875,9.43,154.83864750000183,387.5001556055267
155877,16800,0.8911647814124121,-0.21400183430143688,0.815,10.8925,156.36377250000368,383.7205961502278
159098,17200,0.9034461347407637,-0.04905308910276312,0.7825,10.6125,154.85877999999792,387.4497784368494
162290,17600,0.9072681704260651,-0.12343358395989974,0.7225,10.085,153.56342999999876,390.71802446715657
165485,18000,0.9142410015649453,0.04194053208137715,0.8125,10.9375,155.1968799999985,386.60571011479476
168740,18400,0.9001536098310292,-0.060522273425499235,0.7675,10.47,159.05500749999658,377.22798510446955
172008,18800,0.905140758873929,0.018665850673194616,0.8425,11.4175,159.39484999999868,376.42370503187834
175248,19200,0.9376543209876543,0.27037037037037037,0.9075,11.975,159.64180249999976,375.84140908206103
178514,19600,0.9154929577464789,0.11818738518064911,0.8675,11.5425,160.8067400000035,373.1186889305678
181636,20000,0.9410634208840487,0.35938500960922487,0.795,10.7825,154.9320125000039,387.2666405853244
184787,20400,0.951126626467788,0.49412884798476675,0.935,12.215,157.38473750000122,381.23137575522236
187922,20800,0.960127591706539,0.49059011164274324,0.8175,11.0875,157.72356499999995,380.4124006453951
191232,21200,0.9256797583081571,0.24199395770392748,0.9725,12.9,166.56897750000005,360.2111323520611
194463,21600,0.9498607242339833,0.47570411637264004,0.9725,12.86,163.2181375000044,367.6062043043371
197630,22000,0.943479633722766,0.4404799494790022,0.915,12.3525,152.31207249999977,393.9280650258376
200784,22400,0.9473684210526315,0.4397590361445783,0.8825,11.76,150.09335499999813,399.75120817307834
203943,22800,0.9635960747071858,0.6065210509654954,0.98,12.8475,150.62593500000193,398.3377762933006
207028,23200,0.953646677471637,0.46029173419773095,0.8125,11.0475,147.98019499999936,405.4596630312608
210174,23600,0.9535918626827717,0.5212968849332485,0.92,12.2825,150.75222250000107,398.00408249370633
213355,24000,0.9537881169443572,0.4768940584721786,0.91,12.0875,153.87970000000206,389.9149790388154
216577,24400,0.9618249534450651,0.6589075108628182,0.9775,13.1025,155.26748499999988,386.42990836104576
219825,24800,0.9605911330049262,0.625,0.995,13.095,157.55199750000145,380.82665375283136
223042,25200,0.9571028908921355,0.6291576002486788,0.97,12.8825,156.20212749999948,384.11768751357243
226250,25600,0.9576059850374065,0.6561720698254364,1.02,13.215,156.82536999999544,382.5911585606445
229567,26000,0.9547784142297256,0.6213445884835694,1.0775,14.01,162.16342250000218,369.99712435151145
232906,26400,0.951182988918838,0.6373165618448637,1.155,14.5725,163.6945125000016,366.5364164238518
236122,26800,0.9651741293532339,0.6940298507462687,1.08,13.6125,159.02862999999897,377.2905545372578
239380,27200,0.9570288520564764,0.6129527317372622,1.0875,14.0325,161.98781500000274,370.3982302619428
242637,27600,0.9493398833282162,0.5852011053116365,0.9975,13.1225,157.02564750000136,382.10318476795
245979,28000,0.9491322561340515,0.5499700777977259,1.0725,13.9875,158.69287749999668,378.088802378678
249260,28400,0.9548918012800975,0.634257848217007,1.025,13.315,156.37239000000292,383.6994497557969
252537,28800,0.9426304546841623,0.5862068965517241,1.015,13.365,156.7586049999995,382.7541078207489
