num_threads, time_taken1, time_taken2
1, 734.0019999537617, 881.812000006903  
2, 761.3049999927171, 1060.7249999884516
3, 955.6999999913387, 1122.8439999977127
4, 1038.9900000300258, 1272.6769999717362
5, 1433.9000000036322, 1540.3950000181794
6, 1667.0310000190511, 1884.5839999848977
7, 1952.7130000060424, 2019.053999974858 
8, 2046.9289999455214, 2351.5029999543913
9, 2605.571999971289, 2975.5149999982677
10, 2904.4360000407323, 3036.4950000075623
11, 3164.453000004869, 3281.8780000088736
12, 3076.6899999580346, 3776.3080000295304
13, 3360.3409999632277, 3816.6860000346787
14, 3696.007999998983, 4100.692000007257 
15, 4296.237999980804, 4698.162999993656 
16, 4393.902999989223, 5163.885999994818 
17, 4839.197000022978, 5002.199999988079 
18, 5021.421000012197, 5378.966999996919 
19, 5309.380999999121, 5577.382999996189 
20, 5603.434999997262, 5877.787999983411 
21, 6128.30700003542, 6205.923000001349 
22, 6371.324999956414, 6525.117999990471 
23, 6594.562999962363, 6770.143000001553 
24, 7045.923999976367, 7200.401999987662 
25, 7563.0959999980405, 7720.770999963861 
26, 7580.49799996661, 7872.641999972984 
27, 7995.022999995854, 8278.13099999912  
28, 8331.617999996524, 8889.270999992732 
29, 8729.724999982864, 8887.63700000709  
30, 9199.133999994956, 9319.834999972954 
